t,eval_success,eval_loss
1,72.8,0.8597551512718201
2,77.4,0.9237719029188156
3,75.8,0.8751981610059738
4,75.8,0.8440023672580719
5,76.2,0.9224805760383606
6,75.0,0.9055258303880691
7,77.4,0.9935546782612801
8,74.0,0.8918188625574112
9,77.2,0.8896356838941574
10,85.2,0.6475491434335708
11,87.6,0.47434300035238264
12,91.2,0.4325983974337578
13,90.6,0.3833869943022728
14,86.4,0.4908869445323944
15,82.6,0.7328865027427673
16,78.8,0.8995907914638519
17,73.8,0.9475273889303207
18,76.2,1.0560596412420273
19,75.6,0.8692687147855759
20,75.8,0.9798943072557449
21,76.6,0.8751841306686401
22,74.0,0.861427583694458
23,73.4,1.010197805762291
24,74.8,0.8908484983444214
25,75.2,0.8849039202928544
26,79.2,0.9213436627388001
27,76.2,0.8851357936859131
28,76.4,0.9421924221515655
29,77.8,1.0794390869140624
30,78.0,0.8845391952991486
31,75.4,0.9062948787212372
32,76.6,0.9032127165794372
33,76.2,0.8642062199115753
34,77.6,0.9676384404301643
35,76.4,0.9288423073291778
36,77.4,0.8584405350685119
37,77.6,1.0400657057762146
38,74.8,1.0161546009778977
39,78.2,0.9493810573220253
40,77.6,0.9204999244213105
41,76.4,0.8670474976301193
42,75.4,0.8051255404949188
43,71.8,0.8968989616632461
44,75.4,0.9316603577136994
45,76.2,0.9872813677787781
46,76.4,1.0001721799373626
47,76.6,1.023662257194519
48,75.6,0.8704947566986084
49,71.2,1.00425710439682
50,80.2,0.8008374750614167
