t,eval_success,eval_loss
1,76.4,0.9152863989770412
2,80.8,0.46940569937229154
3,83.6,0.896638465039432
4,81.8,0.9274498958513141
5,83.2,0.428898011893034
6,84.6,0.5332144696637988
7,81.4,0.45171405002474785
8,82.2,0.6097077879682183
9,82.0,0.40590487867593766
10,88.8,0.40669304254930466
11,94.0,0.15635784899350255
12,94.4,0.127435360213276
13,95.2,0.1301419070182601
14,92.6,0.353819096700754
15,88.6,0.31254565227776765
16,86.2,0.3234102028608322
17,83.4,0.41293001115322114
18,83.6,0.4374143709242344
19,85.8,0.3347176805790514
20,83.0,0.3483365834131837
21,85.2,0.385335924718529
22,86.0,0.37985658810008316
23,84.0,0.38573252053931356
24,87.2,0.3087228231830522
25,87.4,0.3135140832932666
26,87.2,0.3084343733265996
27,86.6,0.316096673309803
28,87.4,0.31580604836344717
29,85.4,0.2941830766154453
30,88.0,0.3582689768332057
31,85.0,0.36857319649774584
32,88.2,0.2740040484815836
33,90.4,0.21938446185085922
34,89.0,0.25188741757767275
35,89.4,0.2515828522853553
36,87.4,0.32344107691198587
37,85.2,0.339488408472389
38,83.6,0.3653828156739473
39,84.2,0.3550778628140688
40,91.6,0.22794169314205648
41,89.2,0.2915597892180085
42,89.2,0.3493141796626151
43,87.4,0.43296392004122025
44,88.8,0.2502443192014471
45,84.8,0.33815056014806033
46,88.0,0.28159967352170495
47,86.0,0.2853444968396798
48,89.2,0.2521280392212793
49,87.2,0.33620689089410005
50,87.6,0.2365255220257677
