label,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,batch
1,73159.541,8.054461,23.419016,37.318524,52.926152,-16.180036,-23.392268,-66.052714,58660.4472,6.196936,19.037523,31.041413,45.36756,-13.059392,-18.47978,-51.471406,16467.7593,3.952638,6.492575,17.062795,22.85807,-4.263282,-6.820096,-16.670085,16804.5674,3.837035,6.588592,16.82095,22.375381,-4.300205,-6.65303,-18.214783,3573.1157,2.891994,1.609815,4.490607,7.599306,-0.915073,-1.807946,-6.391015,3266.109,2.734923,1.416415,4.270513,7.161781,-0.821051,-1.502447,-5.368507,22116.0185,4.542403,10.06374,26.691467,35.626387,-6.079282,-10.251133,-23.370709,23003.1763,4.402213,10.537601,28.758372,37.383613,-6.424561,-10.937355,-27.635844,60175.0293,6.450096,17.149704,25.070246,36.529098,-11.841623,-16.707464,-47.173778,44936.3955,5.673582,11.334199,15.778573,22.008522,-8.471886,-11.609287,-29.447602,19568.8447,4.157369,7.387246,16.573972,21.588168,-4.849323,-7.095034,-14.255258,15927.3188,4.072923,6.114281,14.144083,17.817577,-4.053077,-5.9261,-11.999292,6064.3135,3.348064,2.990697,9.648284,13.619372,-1.446276,-2.454477,-4.867315,5913.4334,3.257566,2.829509,9.150807,13.04052,-1.390907,-2.225369,-4.616015,26325.2998,4.963019,11.666355,29.929785,39.37024,-7.090661,-11.841008,-22.535339,23306.0478,4.92179,10.453345,26.869293,33.342973,-6.191215,-9.830712,-18.115832,
1,17214.4062,3.066851,8.694492,16.053404,22.050849,-3.082581,-9.347596,-19.005447,13802.6933,2.626742,7.286551,13.714391,19.984058,-2.442716,-3.776196,-12.955645,4632.0628,2.13429,3.795261,10.905886,14.298789,-1.026672,-1.850292,-7.559083,4724.4986,2.084977,3.8314,10.483557,14.73471,-1.064527,-1.820872,-6.762683,1126.6945,1.640258,0.996955,3.529493,7.067339,-0.281824,-0.673943,-3.995116,1103.7695,1.628194,0.959697,3.566025,7.155764,-0.26197,-0.689229,-4.207866,6383.0327,2.338677,6.039811,17.954479,24.442119,-1.517171,-2.606786,-9.631797,6618.6934,2.295638,6.432548,19.548279,26.362251,-1.606531,-2.879036,-10.635297,14309.4688,2.437109,5.904742,9.844157,14.43597,-2.318968,-3.485198,-12.538683,9721.9463,2.069285,3.751908,6.209207,9.538895,-1.459285,-2.247171,-7.972993,5461.8575,2.186806,4.000308,9.572863,12.573471,-1.139245,-1.758498,-5.340841,4404.2717,2.150299,3.397815,8.826827,11.491524,-0.966823,-1.418742,-4.526218,2160.6543,1.876982,2.089035,7.745185,11.836854,-0.481856,-0.842924,-2.807584,2151.1977,1.870908,1.972652,7.090339,10.402914,-0.470747,-0.812533,-3.028054,7383.2651,2.439331,6.534804,19.923183,27.474016,-1.659123,-2.536536,-6.256935,6657.4287,2.432613,5.920652,17.824644,22.486975,-1.496997,-2.282508,-5.792101,
2,72499.9805,11.760671,19.784823,28.803632,39.038566,-12.534761,-52.26911,-119.403834,71772.2754,11.680823,20.656641,31.623623,43.422903,-13.014859,-18.050713,-61.677342,30618.6424,10.273935,12.115761,25.651207,32.745156,-6.594652,-10.483523,-29.480056,31466.5337,9.919151,12.422145,25.722571,31.954518,-6.660287,-10.569524,-24.376725,3395.7193,3.066529,1.238022,3.551059,6.085885,-0.70984,-1.307121,-5.044461,3355.2135,3.049028,1.228157,3.806391,6.677288,-0.673585,-1.350961,-5.648362,32354.4251,9.385368,14.306132,37.372822,46.376884,-7.266369,-12.457187,-27.721072,35083.1426,9.474721,15.675455,40.775434,51.379491,-7.95247,-13.799323,-31.647105,46321.4804,6.670458,11.053871,14.727058,21.110709,-7.813999,-10.693672,-28.0196,30668.6353,5.153434,6.95971,9.215887,12.750205,-4.936492,-6.872799,-17.349724,33162.0369,9.852915,12.861891,26.20192,31.0327,-6.780511,-9.936122,-22.568526,26667.833,9.612019,10.208023,21.103245,24.869603,-5.517805,-8.089676,-17.647267,6250.7014,3.802662,2.518677,7.564777,11.971021,-1.286721,-2.161967,-4.478411,6691.9932,4.025257,2.64676,7.737796,11.063921,-1.358696,-2.219769,-4.934301,35375.0493,9.476441,15.310605,41.131055,48.906193,-7.832761,-12.693258,-27.931725,30176.7824,8.99415,12.771287,33.776899,41.388151,-6.646315,-11.199621,-23.712482,
2,5193.0732,1.501464,2.192588,7.847533,18.126423,-0.923631,-1.808166,-8.571033,6005.3154,1.54072,2.079537,3.423383,10.350102,-1.052151,-2.021651,-10.523516,3193.0102,1.573353,1.144439,2.137747,7.206741,-0.575921,-1.271057,-7.655885,3310.48,1.557881,1.182781,2.168874,6.042944,-0.584606,-1.307106,-7.08811,452.6148,1.238703,0.199061,0.608349,3.460897,-0.100643,-0.482866,-3.844654,449.9395,1.236001,0.206257,0.630328,3.588235,-0.1024,-0.472582,-3.872139,3906.5981,1.620297,1.545096,3.029116,7.122773,-0.699894,-1.464496,-7.301379,4252.4092,1.623018,1.662834,3.511239,9.561093,-0.780368,-1.646749,-8.892874,2395.7001,1.219043,0.984238,1.647157,5.67084,-0.50194,-1.011903,-5.827731,1393.7021,1.146728,0.648121,1.161753,5.097167,-0.343897,-0.76724,-4.267893,3402.7988,1.543205,1.177766,1.989006,4.397831,-0.583341,-1.041397,-4.616682,2804.7583,1.542271,0.992341,1.698431,4.617515,-0.479849,-0.89872,-3.423293,853.0157,1.321319,0.3642,0.909175,3.148276,-0.154611,-0.40152,-2.891934,889.0349,1.331042,0.375512,0.861821,2.967529,-0.161305,-0.425602,-2.817399,4109.2637,1.605881,1.539097,2.928673,5.673073,-0.690406,-1.209177,-4.693469,3511.7251,1.582411,1.328148,2.551579,5.309492,-0.593732,-1.014355,-4.30995,
1,110085.7266,12.956479,32.468904,51.54646,65.8287,-23.672264,-33.643204,-107.868766,86485.9551,9.557302,26.065694,41.401084,56.949325,-18.955457,-27.10923,-82.660346,27734.7163,6.630242,8.922648,20.566636,26.843536,-7.424073,-11.920873,-30.793382,28131.3925,6.340426,8.889889,19.979663,26.555578,-7.367373,-11.623888,-27.67457,5384.2807,4.027105,2.165894,5.002318,8.51607,-1.352182,-2.396528,-7.119706,4861.5512,3.720433,1.860834,4.813889,7.603957,-1.212077,-2.143878,-6.719325,36306.6036,7.556944,13.73128,31.695445,41.707905,-10.291912,-18.183594,-41.656966,38059.9443,7.352583,14.296118,33.426104,43.265786,-10.977006,-19.681349,-46.408571,87714.4336,10.132792,24.444472,35.694294,46.136172,-16.814226,-22.759925,-76.165737,68663.5649,9.409341,16.891878,23.182289,32.627164,-12.74671,-17.171734,-54.983484,33042.9966,6.958655,10.325422,20.441045,24.892041,-8.519309,-12.990267,-24.429019,26557.3457,6.825389,8.463066,17.563402,22.220059,-6.965592,-10.609703,-20.862799,9063.5788,4.724932,3.643679,10.704049,15.361922,-2.20165,-3.770105,-6.943254,8903.7713,4.635915,3.456441,10.358301,15.273083,-2.128414,-3.552394,-7.148898,44362.2949,8.46344,16.481321,35.8597,43.318058,-12.489764,-22.378261,-40.41028,38669.7744,8.295207,14.540645,32.476122,38.675758,-10.718451,-18.636615,-29.208257,
1,31414.6562,4.774779,11.058943,18.869583,24.748275,-6.193488,-9.142662,-23.353843,25401.3652,4.082242,9.351529,16.348815,23.620995,-4.948013,-7.436939,-22.895442,7745.3621,2.91372,4.329476,12.174004,17.456091,-1.726369,-2.805831,-9.407519,7891.6518,2.823666,4.376753,12.167065,18.512559,-1.775551,-2.858562,-8.808629,1778.3503,1.996518,1.117885,3.928987,7.341229,-0.426349,-0.987418,-4.992826,1677.7392,1.934336,1.074066,3.897573,6.803849,-0.404677,-0.85971,-4.100685,10495.4517,3.203283,6.860805,20.222736,26.37435,-2.537772,-4.341727,-12.277191,10934.3951,3.1456,7.299213,21.915875,29.531561,-2.67336,-4.614794,-12.114624,25462.6621,3.489548,7.957329,12.473343,17.800586,-4.508862,-6.62583,-18.330481,17438.1709,2.851489,5.037085,7.969033,11.363168,-2.889559,-4.22378,-12.720181,9143.7417,2.989241,4.690259,11.328024,14.262219,-1.939625,-2.925566,-7.212523,7393.2888,2.95488,3.936306,9.961326,13.29035,-1.629363,-2.366087,-5.692526,3243.3767,2.2959,2.322363,8.455126,12.382216,-0.736153,-1.274652,-3.865546,3190.9119,2.274031,2.197621,7.873231,11.545533,-0.716426,-1.153084,-3.354653,12311.0029,3.378827,7.663909,22.792534,30.142907,-2.883782,-4.563446,-8.808616,10974.5268,3.346064,6.9126,20.246224,26.655627,-2.576,-3.956823,-7.841193,
2,87580.7871,13.874805,36.43444,66.271441,81.5475,-15.87544,-21.034487,-73.962048,84552.9868,13.496246,40.391208,69.823344,80.479551,-15.37885,-21.06289,-65.607908,47196.4633,14.900727,25.890369,59.63703,70.618487,-11.176849,-17.155347,-40.435829,47995.3335,14.246078,26.249736,59.263134,72.063992,-11.337295,-17.407056,-43.248248,4394.4777,3.625562,2.662238,5.582408,9.505875,-0.987095,-1.770951,-5.9638,4440.9432,3.642811,2.33737,5.74231,9.57727,-0.980745,-1.764866,-5.746905,47627.584,12.95192,29.259263,76.05863,94.532873,-11.809692,-20.034905,-48.974243,51988.7744,13.140121,32.285731,83.699564,108.54168,-13.149183,-22.782617,-56.094527,58286.7266,7.846571,22.55936,34.12979,44.375015,-9.633044,-12.789179,-39.965988,40105.7246,6.133318,14.491324,21.23838,26.1446,-6.37395,-8.477025,-23.790235,49274.3548,13.751941,26.130342,60.044686,70.333354,-11.053053,-15.998042,-35.449848,40747.0332,13.906221,21.401942,46.917768,54.579246,-9.350956,-13.889508,-29.158359,8839.5474,4.822708,4.90042,13.01282,18.932133,-2.088004,-3.505467,-6.427991,9480.6312,5.136521,5.132944,13.534342,19.303189,-2.187566,-3.686295,-6.665161,51524.834,12.849051,31.873695,84.554583,106.552634,-12.525151,-20.879623,-40.71268,44046.895,12.171696,27.087042,68.71816,85.38508,-10.622167,-17.733349,-32.982796,
2,40051.5049,5.926196,11.48671,16.265614,22.688854,-7.536622,-13.94054,-31.200961,40372.8184,5.74327,12.202945,18.134856,26.028158,-7.705999,-10.926995,-34.415122,26258.1294,5.805664,10.893983,23.896541,30.005926,-6.253354,-9.714143,-30.274146,27076.4219,5.667016,11.124309,24.025046,30.518773,-6.387685,-10.222966,-25.948948,2543.2299,2.379813,1.012689,2.90259,5.185595,-0.588778,-1.178559,-4.434458,2607.9197,2.409495,1.005794,2.90385,5.761472,-0.596253,-1.116456,-5.125866,26800.3779,5.379406,12.445959,32.436815,42.379485,-6.716258,-11.119112,-28.589572,29374.5303,5.455514,13.763836,35.678017,46.898307,-7.465419,-12.807356,-29.88253,25073.1113,3.630231,6.267493,8.387519,12.77478,-4.229569,-5.802527,-15.814121,16065.0186,2.878298,3.950421,5.339331,8.681835,-2.533451,-3.653185,-10.298757,27907.853,5.567632,11.242515,23.327209,28.013206,-6.323423,-9.290969,-19.426142,22755.3276,5.428957,9.054695,19.278982,23.167049,-5.224139,-7.611467,-15.58014,5047.6843,2.977262,2.11954,6.106412,9.996812,-1.181085,-1.931249,-3.779236,5454.9627,3.10561,2.24966,6.300099,9.369193,-1.247855,-2.038415,-4.42333,28902.2446,5.39791,13.33878,35.992278,44.137708,-7.100078,-11.184815,-21.651154,24748.7583,5.218041,11.047526,29.144326,36.824302,-5.982082,-9.419963,-18.120252,
1,97608.5708,14.86547,33.414966,52.648729,69.719633,-23.745088,-46.115042,-90.772655,78985.0752,11.774173,28.090284,44.621265,58.49901,-16.775072,-23.646392,-65.882386,22695.3067,5.411828,8.725472,20.758078,28.729586,-5.859115,-9.306795,-25.691787,23014.2315,5.179735,8.720702,20.412265,29.30386,-5.817104,-9.249442,-22.060308,4537.4392,3.566627,2.099423,5.194976,8.799809,-1.131411,-2.087136,-6.282803,4135.8059,3.320189,1.818145,4.996564,7.112255,-1.015123,-1.872416,-5.432303,29700.4346,6.171273,13.337296,31.73512,41.386218,-8.202375,-13.996272,-34.980208,31097.5713,5.991989,14.05157,33.929778,44.152089,-8.644765,-15.199814,-31.010212,77292.7949,10.375134,23.926778,34.784097,43.904155,-14.476517,-20.554608,-63.999007,58932.0498,9.119122,16.212535,22.400731,30.098153,-10.687248,-14.396276,-46.612141,26986.9727,5.656489,10.157601,20.661124,25.741016,-6.665125,-9.884875,-20.414754,21733.2939,5.46794,8.307127,17.345245,21.934861,-5.524466,-8.28984,-15.775021,7785.7956,4.230466,3.648716,11.244741,16.297849,-1.839782,-3.169991,-6.193384,7651.9307,4.159464,3.463878,10.599647,14.937568,-1.770219,-2.99856,-5.673956,35930.9575,6.796543,16.147933,36.463583,45.471936,-9.82065,-16.777297,-28.567217,31532.9101,6.695222,14.26734,32.491873,40.696049,-8.474225,-14.151214,-25.264426,
1,49565.291,7.867549,15.048499,23.50983,30.552842,-10.332858,-15.128783,-41.259382,39712.1919,6.74763,12.60843,20.159519,29.457439,-8.198201,-11.899537,-33.002969,11953.9002,4.034325,4.87198,12.701729,18.210981,-2.8282,-4.488426,-12.698712,12247.6065,3.887223,4.94275,12.670999,17.695592,-2.859786,-4.454939,-13.34879,2650.1173,2.528986,1.211072,3.823436,6.629454,-0.6575,-1.383988,-5.57233,2455.78,2.416313,1.146928,3.970296,6.874222,-0.602978,-1.1497,-4.721419,15942.5659,4.455291,7.590923,20.940418,27.547203,-4.124758,-6.981022,-17.515567,16801.3638,4.401712,8.005475,22.52404,31.04409,-4.388378,-7.302825,-18.904121,41076.2021,5.493436,11.263694,16.225405,21.460558,-7.640231,-10.653812,-28.038007,29057.3154,4.3787,7.272497,10.182575,14.401655,-5.090092,-7.164121,-18.633832,14080.4317,4.125083,5.438324,12.079266,16.901562,-3.196607,-4.583841,-9.476896,11383.4368,4.045161,4.532876,10.76419,13.857618,-2.673274,-3.910557,-8.63959,4597.9434,2.9044,2.455424,8.532717,12.316411,-1.092598,-1.876359,-4.66,4500.4529,2.875895,2.330946,7.970051,11.191513,-1.048481,-1.744614,-4.344185,18942.2099,4.747123,8.555315,23.153326,29.794966,-4.756786,-7.706869,-14.6099,16655.8599,4.659851,7.702593,20.866928,25.741918,-4.195607,-6.697325,-11.629729,
