t,eval_success,eval_loss
1,59.8,1.2143217396736146
2,55.0,1.2386892008781434
3,60.2,1.2169441604614257
4,56.2,1.2197204685211183
5,55.4,1.2384047269821168
6,54.4,1.2388458335399628
7,57.8,1.2500634431838988
8,58.2,1.2132381689548493
9,58.8,1.2113638484477998
10,61.6,1.1817699158191681
11,65.6,1.1187894248962402
12,67.6,1.1031457674503327
13,74.6,1.0493587124347687
14,76.4,1.0686258959770203
15,62.4,1.170406880378723
16,57.0,1.2342138695716858
17,54.8,1.2321005487442016
18,61.2,1.2228043532371522
19,47.8,1.2520948147773743
20,56.0,1.2457811653614044
21,53.0,1.21467560172081
22,63.2,1.1987581753730774
23,54.2,1.246636438369751
24,55.8,1.2405841445922852
25,58.8,1.2349001669883728
26,58.6,1.2402693462371825
27,51.8,1.2435985255241393
28,57.8,1.2378282046318054
29,58.0,1.2544177901744842
30,60.2,1.214431586265564
31,48.6,1.2319991493225098
32,56.2,1.2260262846946717
33,52.0,1.2515001034736633
34,60.2,1.2445290911197662
35,59.2,1.2491782259941102
36,62.4,1.20711674451828
37,56.4,1.260400710105896
38,60.0,1.2329767882823943
39,59.0,1.2614651489257813
40,52.2,1.2371565175056458
41,56.8,1.2280026245117188
42,63.4,1.190669937133789
43,64.0,1.2033191180229188
44,53.2,1.2195508217811584
45,59.4,1.2444647336006165
46,56.8,1.2279527366161347
47,58.2,1.2386841452121735
48,57.0,1.2243476343154907
49,53.0,1.259415578842163
50,64.0,1.1819708490371703
