t,eval_success,eval_loss
1,56.8,0.9790169608592987
2,49.0,0.9768167996406555
3,55.4,1.006982728242874
4,47.6,0.9958232319355012
5,54.2,0.979072505235672
6,66.0,0.94708367228508
7,59.6,0.9589009785652161
8,57.0,0.9778835821151733
9,53.4,0.99879603266716
10,66.4,0.9931442511081695
11,75.0,0.8766997301578522
12,80.6,0.8217919099330903
13,85.8,0.8821838927268982
14,77.8,1.0514380037784576
15,56.0,1.2088298416137695
16,44.4,1.4001278948783875
17,50.6,1.3147270441055299
18,44.0,1.3970683217048645
19,41.0,1.3702197575569153
20,44.2,1.39197101354599
21,57.2,1.2311882638931275
22,43.2,1.3637792539596558
23,42.4,1.3602435660362244
24,54.6,1.2647348618507386
25,51.4,1.2723598194122314
26,44.6,1.3963404321670532
27,50.6,1.280657980442047
28,41.2,1.4038931345939636
29,43.0,1.4037769174575805
30,45.8,1.5339755702018738
31,54.4,1.2471715021133423
32,48.2,1.2740427327156068
33,41.8,1.392366578578949
34,46.6,1.5326579570770265
35,43.6,1.3817612075805663
36,42.4,1.391366457939148
37,42.0,1.3831328320503236
38,44.0,1.376452281475067
39,42.8,1.4108113932609558
40,43.8,1.3914246129989625
41,46.4,1.5717340636253356
42,45.0,1.3402031922340394
43,44.4,1.366499948501587
44,52.2,1.2493951296806336
45,43.0,1.4236475014686585
46,40.0,1.387509593963623
47,46.6,1.3894318747520447
48,51.2,1.2682775092124938
49,49.6,1.2889909934997559
50,48.6,1.43081125497818
