t,eval_success,eval_loss
1,93.2,0.47904928505420685
2,94.8,0.4723814505338669
3,93.6,0.45055016279220583
4,92.0,0.44719273984432223
5,91.2,0.4692949655652046
6,95.6,0.4465656530857086
7,92.8,0.47566292464733123
8,91.2,0.4701203548908234
9,96.0,0.44685024917125704
10,95.8,0.48246481955051423
11,94.0,0.4673259764909744
12,87.6,0.5089745408296585
13,93.2,0.45357838094234465
14,92.6,0.475883823633194
15,95.0,0.4388680669665337
16,95.6,0.47407266855239866
17,96.0,0.4545564651489258
18,90.2,0.48626441121101377
19,93.4,0.4703956210613251
20,93.8,0.45482979595661166
21,93.6,0.45345753282308576
22,93.2,0.4797542697191238
23,93.6,0.45684259235858915
24,94.4,0.45320282816886903
25,95.2,0.4630702233314514
26,93.0,0.48161681830883024
27,93.4,0.4897380137443543
28,95.2,0.4805669665336609
29,95.0,0.4674231952428818
30,93.2,0.4631781929731369
31,93.0,0.4715549623966217
32,93.0,0.4714952218532562
33,92.0,0.47601794749498366
34,92.4,0.49042283117771146
35,94.8,0.44244647324085234
36,95.0,0.4305364066362381
37,92.6,0.4449741691350937
38,93.2,0.4766328799724579
39,91.8,0.49261765003204344
40,95.8,0.4426910388469696
41,90.8,0.4853182315826416
42,92.2,0.46045402109622957
43,92.8,0.48536371648311616
44,91.0,0.4970997434854507
45,96.2,0.4419364929199219
46,94.2,0.4448614859580994
47,91.2,0.4835446274280548
48,93.0,0.4745275181531906
49,91.4,0.49543813467025755
50,94.4,0.4605179291963577
