t,eval_success,eval_loss
1,72.8,1.0742686966061592
2,78.0,0.9041093891859054
3,77.6,1.190132964849472
4,75.4,1.0284481832385064
5,71.8,0.9264292842149735
6,77.8,1.1364448022842408
7,77.6,1.1147537156939507
8,76.2,1.0852213934063912
9,78.2,1.0625256788730622
10,87.2,0.6261699642241001
11,91.8,0.36768890157341955
12,92.6,0.28348872527480123
13,90.6,0.3411273618042469
14,89.8,0.44411619141697883
15,75.2,0.7422290486097336
16,78.2,1.0389614778757095
17,40.4,1.111662836074829
18,77.6,1.0955195793509482
19,73.8,1.2591076731681823
20,76.6,1.1453691783547402
21,74.2,0.877844660282135
22,77.6,1.0673484840989114
23,68.8,1.038980296254158
24,77.4,0.8414922225475311
25,76.2,1.0566382595896722
26,79.8,0.97877745449543
27,71.0,0.9713221073150635
28,75.8,0.9824622732400894
29,77.4,1.1813624900579454
30,78.8,1.0764163449406623
31,78.0,0.9930043038725853
32,78.6,1.0682595297694206
33,77.4,0.9396428552269935
34,78.0,0.9292492887377739
35,78.4,0.983496590256691
36,77.4,1.2456853803992272
37,76.0,1.0546374332904815
38,75.4,1.0296084842085838
39,76.4,0.8766458609700203
40,74.2,0.9163690811395645
41,76.4,0.9442674121260644
42,79.4,0.9661468133330345
43,77.0,1.07839785695076
44,38.4,1.1224798667430878
45,76.6,1.0614368414878845
46,76.8,1.0725415417551993
47,77.2,1.0385569494962692
48,77.4,0.9719342178106308
49,73.6,1.0856345057487489
50,81.4,0.8025959029793739
