t,eval_success,eval_loss
1,57.8,1.2617673361301422
2,57.199999999999996,1.2525390112400054
3,56.8,1.2616427648067474
4,58.199999999999996,1.2573612129688263
5,55.00000000000001,1.2745977139472962
6,58.199999999999996,1.2759476482868195
7,58.4,1.2751072347164154
8,56.8,1.2522072196006775
9,61.4,1.2218694722652435
10,63.0,1.1624115574359895
11,68.4,1.0594210410118103
12,76.4,1.0225393307209014
13,75.2,1.0057199430465698
14,71.8,1.0442374396324157
15,69.19999999999999,1.1436310231685638
16,58.8,1.2396557974815368
17,62.4,1.2546642172336577
18,59.0,1.2251120793819428
19,57.199999999999996,1.279389910697937
20,55.2,1.2496944546699524
21,57.8,1.2592286026477815
22,59.599999999999994,1.2350809502601623
23,59.0,1.2455174458026885
24,56.2,1.2684769570827483
25,57.199999999999996,1.2733174979686737
26,60.4,1.245952993631363
27,59.4,1.227500834465027
28,59.199999999999996,1.2535406649112701
29,57.99999999999999,1.2664044499397278
30,56.99999999999999,1.2319287693500518
31,54.800000000000004,1.2652837491035462
32,61.4,1.2427196443080901
33,56.2,1.2446901488304138
34,60.8,1.238828693628311
35,57.99999999999999,1.2783250629901886
36,58.199999999999996,1.2367372083663941
37,55.60000000000001,1.291847550868988
38,58.4,1.2552038061618804
39,55.800000000000004,1.2832597422599792
40,56.599999999999994,1.2480090653896332
41,59.8,1.2451993656158447
42,60.0,1.2255024921894073
43,61.8,1.233629616498947
44,60.4,1.2232321310043335
45,59.599999999999994,1.2314018750190734
46,59.4,1.2357869851589203
47,59.8,1.2134746992588044
48,62.0,1.2054874300956726
49,55.400000000000006,1.2700310814380646
50,61.0,1.1664092695713044
