t,eval_success,eval_loss
1,52.0,1.3651452851295471
2,49.4,1.374576210975647
3,52.2,1.3576291799545288
4,92.80000000000001,0.28212949603796006
5,96.2,0.14540502320975066
6,97.6,0.11690482049249112
7,95.6,0.11953706356231124
8,96.8,0.09509063925594091
9,97.39999999999999,0.08921619472559542
10,97.39999999999999,0.08654292868450283
11,96.8,0.08821415385231375
12,96.0,0.09241975851356983
13,95.19999999999999,0.1055338480649516
14,95.19999999999999,0.10946230239234865
15,97.0,0.07879603528534063
16,97.2,0.0757346715091262
17,97.2,0.0763076563179493
18,95.39999999999999,0.11956624270416796
19,96.39999999999999,0.07758289441931993
20,97.39999999999999,0.08287993558682501
21,97.2,0.0844899214466568
22,96.8,0.08092333063483238
23,97.39999999999999,0.06782823737361468
24,97.2,0.0641749033483211
25,97.8,0.06587383692036383
26,97.39999999999999,0.06884123253053985
27,96.8,0.07420395497465507
28,98.0,0.06175178197619971
29,95.6,0.08874602539232
30,96.2,0.07425506041385234
31,97.6,0.07146165392361581
32,97.0,0.07438876643660479
33,95.39999999999999,0.08817807977320627
34,97.0,0.06972166982246562
35,98.6,0.056522501367726366
36,97.6,0.07510612729820423
37,97.8,0.061746095907292325
38,97.39999999999999,0.06657632283284329
39,97.2,0.0669473338680109
40,97.6,0.060585681727388874
41,97.8,0.06580198099836707
42,97.0,0.07257948458740429
43,95.8,0.08865980840870179
44,96.39999999999999,0.08102872883639066
45,96.6,0.07004817899753107
46,96.8,0.06870922980189789
47,97.39999999999999,0.07703201328753494
48,98.4,0.05849209329637233
49,97.39999999999999,0.06833310205533052
50,95.6,0.10914972500337171
