t,eval_success,eval_loss
1,77.2,0.8248058393597603
2,79.60000000000001,1.3359803748130799
3,78.0,1.639747682735324
4,79.4,1.803117383234203
5,79.80000000000001,1.8124644375965
6,82.0,1.9628001047670842
7,79.60000000000001,2.6733340755850077
8,77.0,2.7694197802245615
9,81.0,2.62846949853003
10,89.2,1.209607822673861
11,93.4,0.396559575246647
12,95.0,0.1825877897220198
13,94.6,0.337023542560637
14,89.0,1.1022893821820616
15,83.6,2.5263678957894444
16,81.2,3.435205525509082
17,78.8,3.9011942831613124
18,80.2,3.902973296782002
19,81.39999999999999,3.694619794045575
20,81.2,3.9148748587444424
21,80.60000000000001,3.6462598019838333
22,80.4,4.0296054885257035
23,80.60000000000001,4.689630546001718
24,81.0,4.0698422669200225
25,79.4,4.266037688666838
26,81.0,4.303319890559651
27,80.0,4.1152039524028075
28,79.60000000000001,4.761131140757352
29,78.60000000000001,4.784062220309861
30,81.0,4.452091928552836
31,79.0,4.758455282390351
32,82.39999999999999,4.445206386834616
33,82.19999999999999,3.9536946778278796
34,81.0,4.356555173329634
35,78.2,4.504570257269952
36,81.0,4.889824592657387
37,80.2,4.95069616642315
38,80.80000000000001,5.289233298758045
39,82.0,4.308524101084331
40,81.39999999999999,4.432745230388828
41,79.0,4.841402725455119
42,81.8,4.668102621953003
43,79.60000000000001,5.051194408854354
44,79.4,4.492793101298157
45,81.6,4.3424747961096
46,79.80000000000001,5.324897480899235
47,82.19999999999999,4.42409487198107
48,82.39999999999999,3.9858461751881986
49,80.60000000000001,4.7931382539775225
50,84.2,2.4983901184015123
51,92.80000000000001,0.5691686480892532
52,96.8,0.18236554136710764
53,92.4,0.5722523325582733
54,88.6,1.2506157998807612
55,83.8,3.1969585955515503
56,83.6,3.672068850675714
57,79.2,5.067839555265382
58,79.4,4.054678405225277
59,80.0,4.892928965144238
60,79.4,4.44066393810499
61,80.2,4.818247036403336
62,80.2,4.601527393572778
63,79.0,5.595576107166708
64,77.8,5.530789499859093
65,80.60000000000001,4.837625424605212
66,82.19999999999999,4.7815513845748505
67,80.60000000000001,4.325745516917668
68,81.0,4.60351842482487
69,82.8,4.41858197008114
70,82.39999999999999,4.447352507680771
71,80.0,5.286533055910841
72,79.2,5.24284882303793
73,78.4,5.306170485432376
74,82.8,4.945289158380474
75,81.6,4.453717857515439
76,82.0,4.814294752060668
77,78.4,5.922849856186658
78,80.4,5.327386246656533
79,80.4,5.526542809077328
80,81.39999999999999,5.302548131194653
81,79.4,5.541114610851801
82,82.39999999999999,5.004196883861441
83,79.60000000000001,5.139143699959386
84,79.80000000000001,4.976337008386909
85,81.8,4.659885948189767
86,80.0,5.718111313052577
87,79.60000000000001,5.059728606017306
88,82.39999999999999,4.46877473343483
89,80.4,5.213799722464755
90,85.8,2.4952409507049014
91,89.2,0.9568770997022511
92,92.80000000000001,0.5289457823363045
93,93.60000000000001,0.5009650664767833
94,89.0,1.7358649805479218
95,84.39999999999999,3.071704032072039
96,83.2,3.992802083954448
97,80.2,4.816392985066631
98,78.4,4.905929443240166
99,82.39999999999999,5.250587700079195
100,80.60000000000001,5.309338255120237
