t,eval_success,eval_loss
1,77.2,0.8252329137921334
2,79.80000000000001,1.328816563487053
3,78.2,1.6438561408966779
4,79.2,1.7965127634815872
5,79.80000000000001,1.8109852737188339
6,82.0,1.9663366886973381
7,79.60000000000001,2.674818967990577
8,77.2,2.768184539079666
9,81.0,2.62587941557169
10,89.2,1.2085198510624469
11,93.4,0.39637198864948003
12,95.0,0.18210901983315125
13,94.6,0.33419602561043577
14,89.0,1.0842568726837636
15,83.39999999999999,2.4980999874323606
16,81.0,3.4321699244133197
17,78.8,3.9040799346379935
18,80.4,3.8958608926425224
19,81.0,3.664528932184912
20,81.2,3.8754549499973656
21,80.60000000000001,3.5955650464817883
22,80.60000000000001,4.039230153327808
23,80.60000000000001,4.657401080699637
24,81.2,4.061241760170088
25,79.4,4.252456475970103
26,81.0,4.296548986607231
27,80.0,4.091142384097911
28,79.4,4.747647745516151
29,78.60000000000001,4.7861047309590505
41,79.2,4.842558329650201
42,81.8,4.733484232097399
43,79.80000000000001,5.0417530702112705
44,79.4,4.4952458534552715
45,81.6,4.3539353748073335
46,79.80000000000001,5.3615482215824155
47,81.6,4.374383420906961
48,82.19999999999999,3.9882840200769714
49,80.80000000000001,4.8142185041029
50,84.2,2.516378154877821
