t,eval_success,eval_loss
1,77.60000000000001,1.1665520797669888
2,78.8,1.6472228725999594
3,80.0,2.343997539393604
4,78.60000000000001,2.845722527608741
5,79.60000000000001,1.946112709660083
6,81.2,1.872561424812302
7,77.0,2.619002949744463
8,77.4,2.9959411808662115
9,79.60000000000001,2.43700294717215
10,87.4,0.9502187109744409
11,92.4,0.28603745670348873
12,93.2,0.2027501183054119
13,93.2,0.270151334208349
14,89.8,0.9250913266217685
15,84.0,1.4187609169539064
16,81.6,2.1992351450270506
17,80.0,2.5485277245938778
18,79.0,3.1892538853015866
19,82.8,1.7494968106615125
20,81.6,2.2363222013344055
21,79.80000000000001,2.054697224535048
