t,eval_success,eval_loss
1,77.4,0.817316681444645
2,79.0,1.3843182545900345
3,78.4,1.6468053771555424
4,79.2,1.733830480389297
5,79.80000000000001,1.8839636638388038
6,81.8,2.0647467901557683
7,79.80000000000001,2.472442676015198
8,77.2,2.8733588537573813
9,80.2,2.6793629440665243
10,88.6,1.3015288942633196
11,93.2,0.3921370400162414
12,92.2,0.2898016075603664
13,93.8,0.36315965469460937
14,89.0,1.0811397580243647
15,83.8,2.602167115267366
16,81.6,3.6064734685234727
17,78.0,4.005366184888407
18,80.2,4.10171920361463
19,81.6,4.045622943979688
20,80.60000000000001,4.03637777896598
21,81.0,3.743770316392183
22,80.2,4.324104537194362
23,80.0,4.996558985775336
24,81.2,4.221475241105072
25,80.0,4.419989739410812
26,80.80000000000001,4.60976591700688
27,78.60000000000001,4.402011099481024
28,79.60000000000001,4.841764016523957
29,80.2,5.046921800123528
30,81.2,4.764636672539637
