t,eval_success,eval_loss
1,75.8,0.9141305655241012
2,67.4,0.8276797789335251
3,80.4,0.6261483837664127
4,79.0,1.3130894222855567
5,84.0,0.619895506054163
6,80.80000000000001,1.7597506339848041
7,82.39999999999999,0.7206217502057553
8,77.60000000000001,1.4489208468794823
9,70.0,0.8203604438900948
10,86.8,0.5723319445364177
11,91.8,0.29358189925085754
12,94.39999999999999,0.19179450429975986
13,88.6,0.3648777001351118
14,87.6,0.4776415871270001
15,80.2,0.8562470391392708
16,78.60000000000001,1.6317720052599907
17,79.60000000000001,0.8957532948255539
18,73.8,1.4599478811398148
19,82.19999999999999,0.6753978169336915
20,78.8,1.231574411392212
21,77.0,1.2869629523158073
22,77.0,0.8872890419885516
23,80.2,0.6479840141534805
24,78.60000000000001,0.6494177187979221
25,84.2,0.6413815366849304
26,86.6,0.3551870500296354
27,81.8,0.7587750216573477
28,76.0,0.6661142984032631
29,69.6,1.6358683332800865
30,76.0,1.0325490409135818
