t,eval_success,eval_loss
1,75.8,1.110435315966606
2,76.4,0.8721876195073128
3,76.2,1.203424542248249
4,78.4,1.1390829786658287
5,67.60000000000001,0.9697847324609756
6,78.2,1.1499813535064458
7,76.4,1.2383672127127647
8,75.0,1.2139854115247726
9,77.2,1.2445599706470967
10,83.6,0.6562004560232162
11,88.4,0.375307932049036
12,91.4,0.2877802963554859
13,91.8,0.2987106052786112
14,88.8,0.37975856885313986
15,77.0,0.7026982194185257
16,78.0,1.1173319411277771
17,41.199999999999996,1.104535974264145
18,75.2,1.2134622886776925
19,77.0,1.2860132405161857
20,77.60000000000001,1.2507124643027783
21,71.6,0.9287693691253662
22,76.0,1.064058221578598
23,71.0,1.0635847970843315
24,74.6,0.8592354780435563
25,76.0,1.1818875613808633
26,77.2,1.0662199997901916
27,66.8,0.9850107908248902
28,72.6,1.0427664917707444
29,76.6,1.3383781212568282
30,74.4,1.123416645526886
31,76.0,1.0802087020874023
32,77.0,1.1541029939055443
33,77.8,1.0744103260338307
34,77.4,1.1151848128437996
35,77.2,1.0874107566475868
36,75.6,1.278596240580082
37,70.8,1.264120841026306
38,76.6,1.1347715601325035
39,74.2,1.170832403600216
40,71.39999999999999,0.9409272754192353
41,76.4,1.1402339023351669
42,79.0,1.0345086354017257
43,75.2,1.1540648594498635
44,54.2,1.0497231793403625
45,79.60000000000001,1.104768238067627
46,75.6,1.176853854060173
47,79.4,1.147062590122223
48,77.60000000000001,1.0344688755273819
49,75.8,1.1489656376838684
50,81.2,0.8352278482913971
