t,eval_success,eval_loss
1,52.0,1.3651452851295471
2,49.4,1.374576210975647
3,52.2,1.3576291799545288
4,90.4,0.5328529524803162
5,95.0,0.3034027034044266
6,94.8,0.21579548358917236
7,93.8,0.22388425411656498
8,87.4,0.31364673109725116
9,91.8,0.25297463707625867
10,93.60000000000001,0.18445890486240388
11,95.6,0.1748303674533963
12,94.6,0.21363818995654582
13,93.2,0.22092388659715653
14,93.60000000000001,0.19863865204155445
15,92.80000000000001,0.23237561538349838
16,94.39999999999999,0.19959870722144843
17,92.0,0.21831950426101684
18,89.4,0.25577566616237163
19,91.2,0.25720849726349115
20,91.4,0.25309251695871354
21,91.60000000000001,0.25818469548597933
22,87.4,0.3005174217373133
23,92.2,0.22717290464788675
24,93.4,0.18880563400685788
25,93.4,0.165559111982584
26,95.19999999999999,0.1484509214758873
27,92.60000000000001,0.17285379160195588
28,96.2,0.10955041679553687
29,94.0,0.12746415864676236
30,93.8,0.13943577117286624
31,91.60000000000001,0.2205861611664295
32,92.0,0.23221435474231839
33,88.8,0.2757774631306529
34,91.4,0.2227875822223723
35,88.6,0.25437511606141927
36,92.60000000000001,0.19558635462075472
37,93.4,0.16096959423273802
38,89.60000000000001,0.23124193591997028
39,91.2,0.20493617296218872
40,94.8,0.19211121402680875
41,95.39999999999999,0.12214844670146703
42,95.6,0.1272899581072852
43,95.39999999999999,0.1340042676217854
44,93.60000000000001,0.1547927678609267
45,95.39999999999999,0.14092773493379354
46,96.2,0.09149856598582119
47,93.0,0.17295742470771075
48,95.0,0.13036046751309185
49,95.6,0.1334997267462313
50,93.4,0.18289624735480176
