t,eval_success,eval_loss
1,35.4,1.5533110904693603
2,32.0,1.56866628408432
3,36.199999999999996,1.5484108757972717
4,59.8,1.325802779197693
5,53.0,2.2409544515609743
6,60.6,2.3361516571044922
7,53.6,3.110925612449646
8,54.0,3.058651257157326
9,54.0,3.087896889448166
10,65.2,2.305313222408295
11,65.0,2.3257641899585724
12,58.199999999999996,2.0219568467140197
13,59.599999999999994,2.0384234875440597
14,58.199999999999996,2.0330946946144106
15,62.0,2.5998982894420624
16,61.8,2.7484942203760148
17,63.4,2.3095050662755967
18,58.199999999999996,2.2185683912038803
19,57.199999999999996,2.7034366261959075
20,58.4,2.7379132401943207
21,58.8,3.4118560630083086
22,56.39999999999999,3.6030088958144186
23,59.4,3.4827174596488475
24,59.199999999999996,2.2767959037423133
25,55.60000000000001,2.195814609527588
26,56.2,2.1432454353570938
27,54.800000000000004,4.076374351084232
28,58.199999999999996,3.548739333152771
29,65.0,2.234825998544693
30,58.4,2.230768313407898
31,60.4,1.3672891223430634
32,63.0,1.0120626494288445
33,61.8,1.0576847505569458
34,64.60000000000001,1.0003929042816162
35,73.8,0.7974130454659462
36,74.2,0.6987291239202023
37,59.4,1.5629892182350158
38,74.6,1.3066007104516029
39,62.8,2.526776780039072
40,75.0,0.7839262905716896
41,78.0,0.6820574127137661
42,59.0,2.551485779881477
43,60.8,2.4943578922748566
44,63.6,2.153408105969429
45,60.0,1.9401721704006194
46,62.8,1.8720187443494796
47,77.2,0.6119606718420982
48,77.60000000000001,0.5666408416628838
49,79.60000000000001,0.5949158185720443
50,60.6,4.311833094358445
