t,eval_success,eval_loss
1,77.4,0.8167870378494263
2,78.8,1.3471494141221045
3,78.60000000000001,1.6428671337664127
4,79.2,1.7556893217936158
5,79.60000000000001,1.9117325223609805
6,82.0,2.0684398167580365
7,79.4,2.4892229077965022
8,77.4,2.8855363067984583
9,80.60000000000001,2.6613353523612022
10,88.6,1.2736538354749791
11,93.0,0.38812795115169135
12,92.4,0.27448692292207855
13,93.8,0.3584382758801803
14,88.8,1.0767300156876445
15,83.39999999999999,2.5945588867925107
16,81.6,3.6004160052747465
17,77.60000000000001,4.03138273248449
18,80.0,4.112142894910648
19,81.6,4.068567587430589
20,80.80000000000001,4.086282170787453
21,80.80000000000001,3.7666696628928182
22,80.4,4.362426785057178
23,80.0,5.015652159610763
24,80.60000000000001,4.229365542281885
25,80.4,4.3968933384804405
26,80.80000000000001,4.6023103166185315
27,79.2,4.385199255794287
28,79.4,4.851958023943007
29,80.2,5.047623825483024
30,81.2,4.683296048557386
31,78.60000000000001,5.004061876897468
32,82.19999999999999,4.791337932098831
33,81.8,4.4830528565123675
34,81.8,4.717259056562434
35,80.0,4.868657947285901
36,81.0,5.011914198901504
37,80.4,5.1583072513795925
38,81.6,5.43667143130675
39,81.0,5.341103248661384
40,81.2,5.170755542479456
41,80.0,5.206803921094397
42,80.80000000000001,4.8143175955489275
44,80.0,5.380536827181349
45,82.0,4.731483302278211
46,79.80000000000001,5.836383742707803
47,82.0,4.858132333913818
48,82.19999999999999,4.3943645017757085
49,80.4,5.303351057516411
50,84.8,2.7658886106738283
