t,eval_success,eval_loss
1,74.0,1.2450938808918
2,75.0,2.355811787247658
3,78.4,2.2299812349677084
4,76.2,2.7443546460010113
5,77.2,2.5311658333241938
6,72.39999999999999,2.766357439160347
7,61.8,3.209828236885369
8,66.60000000000001,3.183971831202507
9,71.8,1.9447063351771794
10,82.0,1.8185520859609823
11,89.4,0.7933770624006865
12,92.4,0.373838839691598
13,90.0,0.6984235710138456
14,90.2,1.3979365917737596
15,83.2,3.1982216614764183
16,78.0,4.847391389328987
17,74.4,5.356240869872272
18,76.8,5.468458739602938
19,77.2,5.0886594926170075
20,72.8,4.909772027547006
21,74.8,4.778270573019982
22,76.4,4.877761662130361
23,75.6,5.604579817876219
24,77.0,4.482666149483993
25,63.2,7.897911257445812
26,65.0,8.520421584062278
27,75.8,4.9700445790309455
28,78.2,4.563451456129551
29,73.0,5.13734737098217
30,76.8,4.939161624889821
31,74.8,3.5754745294339956
32,71.6,4.505309589598328
33,75.4,3.7856092210114003
34,74.4,8.429668176350097
35,73.0,8.415673457980155
36,71.0,8.836809796518645
37,74.6,3.9482829371001573
38,72.0,2.301993308365345
39,72.0,2.262374969124794
40,76.0,1.7882755975425244
41,75.6,1.6726072211563587
42,74.6,1.6188048597890883
43,73.8,1.9951460275053978
44,72.0,2.0947228638781237
45,80.0,2.7008978018164633
46,77.4,2.648698804713786
47,82.6,3.228311389684677
48,82.39999999999999,0.6275736333429813
49,81.6,1.1128222877532243
50,88.6,0.40403502952307463
