t,eval_success,eval_loss
1,0.5783118980869341,0.8016543294551938
2,0.7580432201480574,0.4599743250533985
3,0.8467770890015534,0.2912859430374342
4,0.7455910235630571,0.4836467136898674
5,0.9312948729661673,0.1306125626234547
6,0.9267390696132243,0.1392734253639955
7,0.9325743258506208,0.12818024037343206
8,0.9381577068256074,0.11756591425563356
9,0.7124107356056129,0.5467243894266937
10,0.7794789287238397,0.41922378669037363
11,0.8095795285589851,0.3620007232361966
12,0.8349116473424427,0.31384285920146093
13,0.9015495666308367,0.18716019139472606
14,0.9157276364408732,0.16020682328269686
15,0.9229314816094475,0.14651186368026342
16,0.918872191659448,0.1542288295133775
17,0.849844532569428,0.28545454249650426
18,0.8502219121725748,0.2847370890252175
19,0.8765333048882434,0.23471758000659873
20,0.87629946856198,0.23516212038391976
21,0.919221166144757,0.1535653979032653
22,0.9446510212052074,0.10522172103931912
23,0.933192718007031,0.12700465366664745
24,0.9474543074824776,0.09989250891473285
25,0.9387168623197193,0.11650291943655537
26,0.9187042904319122,0.1545480098552288
27,0.7257763366031946,0.5213156114801342
28,0.7594279134319932,0.4573419585891171
29,0.729281633070932,0.5146518507480695
30,0.8848132374744297,0.2189769470187881
