t,i,eval_success,eval_loss,drift,delayed
0,7,66.4,1.6352543246746063,,false
0,4,66.6,1.6500585290789604,,false
0,2,73.0,0.7804311951994896,,false
0,6,67.2,1.7540525108575822,,true
0,5,67.0,1.4538731288909912,,false
0,3,73.4,0.7675927117466926,,true
0,9,65.2,1.5171286594867706,,false
0,0,70.6,0.7753702777624131,,true
1,5,66.8,1.8969279938936234,,false
1,3,72.0,0.7244182798266411,,true
1,1,73.6,0.7009297126531601,,false
1,7,69.2,1.813611866235733,,false
1,9,67.6,1.6035169970989227,,false
1,4,68.8,1.5902123087644577,,false
1,2,74.4,0.7070916056632995,,false
1,6,69.6,1.4630853855609893,,true
2,3,67.2,0.8185700702667237,,true
2,6,67.2,1.960344405770302,,true
2,5,65.2,1.6994765162467957,,false
2,7,64.2,1.6650695061683656,,false
2,2,71.8,0.7649678206443786,,false
2,8,66.4,1.8263635259866715,,false
2,4,66.6,1.7951226145029069,,false
2,9,66.0,1.6784231770038605,,false
3,3,71.8,0.8039305713772774,,true
3,6,65.8,1.5320231902599335,,true
3,7,67.8,1.5978428268432616,,false
3,9,67.4,1.5729629838466643,,false
3,8,64.8,1.586797420978546,,false
3,0,72.6,0.8004325783252716,,true
3,2,72.4,0.790268919467926,,false
3,4,67.6,1.675945789217949,,false
4,7,65.4,2.003465594649315,,false
4,6,67.6,1.5809838306903838,,true
4,1,75.4,0.6799211090803147,,false
4,2,76.0,0.710177598297596,,false
4,4,67.2,1.7645156133174895,,false
4,8,64.6,1.6039051261544228,,false
4,9,67.2,1.567316854596138,,false
4,3,73.4,0.7352997299283743,,true
5,1,76.8,0.7112492397427559,,false
5,2,75.2,0.7168619355559349,,false
5,4,67.4,1.6908479285240174,,false
5,3,74.4,0.7270130589604378,,true
5,5,67.8,1.8145909023284912,,false
5,0,73.8,0.7635547631978988,,true
5,9,67.0,1.6978971433639527,,false
5,8,68.6,1.6613115239143372,,false
6,2,73.2,0.7436194077134133,,false
6,9,66.0,1.7826419806480407,,false
6,4,64.8,1.7758659309148788,,false
6,5,65.4,1.7289102840423585,,false
6,8,64.2,2.009654977321625,,false
6,0,71.8,0.7489637812972069,,true
6,1,73.0,0.7438781318068505,,false
6,6,65.2,1.6790502336621285,,true
7,2,73.4,0.7840966352820397,,false
7,9,63.4,1.8551797580718994,,false
7,8,63.2,1.7425444781780244,,false
7,3,72.8,0.7999319769442081,,true
7,7,63.0,2.1662707817554474,,false
7,4,64.8,1.7035568368434906,,false
7,5,63.0,1.9097659337520598,,false
7,0,72.4,0.7840209130942821,,true
8,2,75.2,0.6973488110303879,,false
8,4,68.8,1.7999519419670105,,false
8,0,74.2,0.7258359551429748,,true
8,3,72.0,0.7580832591652871,,true
8,8,70.2,1.5077397274971007,,false
8,7,69.6,1.5121147167682647,,false
8,1,76.0,0.701622006893158,,false
8,6,68.4,1.368287015557289,,true
9,8,79.2,1.0403327643871307,,false
9,0,72.6,0.74370551943779,,true
9,4,78.0,1.039608502984047,,false
9,2,75.8,0.7109627085924148,,false
9,1,74.6,0.7077321216464043,,false
9,5,80.2,1.0509536960721015,,false
9,9,80.0,0.9640814477205276,,false
9,7,79.6,0.9789532408118248,,false
10,4,90.6,0.37821784675121306,,false
10,1,72.8,0.7207629629969596,u,false
10,2,75.0,0.6905665551126003,,false
10,3,75.0,0.6737670138478279,u,true
10,5,90.8,0.4005297124385834,,false
10,0,75.8,0.7214281010627747,,true
10,9,90.6,0.3813768312335014,,false
10,6,89.2,0.4020898625254631,,true
11,1,75.6,0.6128292162716389,u,false
11,3,72.0,0.6573701432347298,u,true
11,0,74.0,0.7034961262345314,u,true
11,6,94.2,0.2384928795695305,,true
11,9,94.0,0.25424732238054276,,false
