t,eval_success,eval_loss
1,62.2,0.8499676030874252
2,83.6,0.49015077233314513
3,90.60000000000001,0.24607022047042848
4,83.0,0.3938375018537045
5,83.0,0.5592927405238152
6,87.2,0.27201808720827103
7,88.0,0.4050560791045427
8,88.0,0.28692581597715616
9,84.0,0.4169078261777759
10,92.2,0.21339058581739664
11,89.8,0.25237430781126025
12,82.39999999999999,0.5112935460545123
13,94.0,0.15550021268427372
14,92.4,0.17588619463145733
15,89.8,0.26397658374160526
16,82.8,0.4504095356352627
17,91.60000000000001,0.22129589971154928
18,89.8,0.2469160229153931
19,82.19999999999999,0.44869114946573974
20,87.2,0.31836438313126564
21,89.0,0.3851435866206884
22,85.6,0.4073844701051712
23,83.0,0.4257955469191074
24,91.60000000000001,0.21218110248446465
25,84.2,0.6350036606192588
26,88.6,0.363864149004221
27,86.8,0.3742543078958988
28,92.4,0.2224194598942995
29,92.2,0.2067381866183132
30,93.4,0.15423164278268814
