t,eval_success,eval_loss
1,62.6,0.7943173599243164
2,60.8,0.8106221437454224
3,55.2,0.8241186463832855
4,48.4,0.8439683890342713
5,52.400000000000006,0.8367509424686432
6,60.6,0.8208378159999847
7,42.199999999999996,0.8376627385616302
8,42.0,0.8462938213348389
9,54.2,0.9819010734558106
10,79.4,0.8013456797599793
11,92.60000000000001,0.49859626531600953
12,94.8,0.48292202949523927
13,94.8,0.5634964591264725
14,83.6,0.8499118661880494
15,69.6,1.0607031071186066
16,80.80000000000001,0.7688229525089264
17,79.0,0.7164862871170044
18,81.0,0.698121731877327
19,83.6,0.8204167425632477
20,78.8,0.7402462559938431
21,83.8,0.8502764523029327
22,83.39999999999999,0.8680072975158691
23,83.2,0.8536440980434418
24,79.80000000000001,0.6276848101615906
25,85.6,0.853690197467804
26,82.0,0.6922763979434967
27,80.80000000000001,0.7184409898519516
28,82.0,0.874634336233139
29,87.4,0.82065154671669
30,81.39999999999999,0.8639060962200165
31,85.6,0.8252183544635773
32,78.60000000000001,0.725370973944664
33,83.8,0.8399868905544281
34,87.2,0.8231968939304352
35,84.8,0.8422189676761627
36,83.8,0.8691652131080627
37,82.19999999999999,0.6828336489200592
38,81.8,0.6787363737821579
39,83.8,0.842290028333664
40,83.2,0.8494012224674224
41,85.8,0.8062844443321228
42,86.2,0.8161329448223114
43,82.8,0.850288211107254
44,79.80000000000001,0.7306965255737304
45,80.2,0.6966232073307037
46,84.0,0.8287857210636139
47,84.8,0.8346761250495911
48,80.0,0.7495041501522064
49,79.2,0.7413823610544205
50,81.2,0.9141957688331604
