t,eval_success,eval_loss
1,66.4,1.679488328397274
2,49.6,1.222778326869011
3,64.8,1.6735417759418487
4,65.4,0.8995766693353653
5,62.2,1.0174726396799088
6,67.0,1.928362753391266
7,64.0,1.0795580530166626
8,62.8,1.848587172627449
9,74.4,0.8298476004600525
10,75.6,0.817477079629898
11,89.0,0.40270767226815224
12,81.6,0.5858900842070579
13,82.8,0.610934893488884
14,79.0,0.6030620121955872
15,78.8,0.652299883365631
16,65.8,0.9660487067699433
17,45.6,1.0157611107826232
18,58.599999999999994,2.3607403272390366
19,66.4,1.6960417371988297
20,71.39999999999999,0.9051809000968933
21,63.4,1.2033638870716095
22,66.4,0.9476268744468689
23,61.0,1.1264367288351058
24,47.0,1.0631672221422195
25,63.6,1.890839894786477
26,63.800000000000004,1.890995227098465
27,55.00000000000001,1.0672422122955323
28,70.6,0.9064136269688606
29,62.0,1.7602664533257484
30,62.8,1.1046300122141839
31,48.0,1.0350333899259567
32,63.4,1.8628732031583786
33,63.0,1.8297850877046584
34,66.4,2.09148934841156
35,61.8,1.1776999306678773
36,70.0,0.8439013928174972
37,57.199999999999996,1.2011115992069243
38,46.800000000000004,1.4274220311641692
39,64.2,1.27951189994812
40,63.2,1.1765210682153702
41,49.6,1.1719226783514023
42,55.800000000000004,1.0398046946525574
43,66.0,1.4815593810379506
44,46.400000000000006,1.1135826754570006
45,64.0,1.1145361828804017
46,66.60000000000001,1.8803007924556732
47,64.0,1.8847992062568664
48,70.0,0.8251842349767685
49,65.4,2.099627874791622
50,66.60000000000001,1.1548096966743469
